CustomerID,Age,Gender,City,AnnualIncome,MembershipTier,PreferredChannel,TenureMonths,RecencyDays,Frequency,MonetaryTotal,AvgBasketValue
CUST-10284,35.0,Female,Portland,36611.45,Basic,In-Store,39,0,19,490.86,17.72
CUST-10804,43.0,Female,Seattle,32160.3,Gold,Online,9,71,2,9.48,65.27
CUST-10381,60.0,Female,Denver,109609.53,Gold,Online,61,19,25,6951.76,166.62
CUST-10617,80.0,Female,Houston,114809.43,Basic,In-Store,19,59,3,1784.26,482.15
CUST-10805,18.0,Male,Austin,41538.42,Basic,Online,6,72,2,40.03,66.76
CUST-11123,18.0,Non-Binary,Seattle,32051.93,Gold,Online,13,24,14,1443.86,35.03
CUST-10407,45.0,Male,Chicago,89388.62,Platinum,Online,59,16,35,4711.06,102.42
CUST-10886,37.0,Male,Denver,29231.98,Silver,Online,1,95,0,190.29,72.84
CUST-10994,40.0,Male,Miami,54057.81,Gold,In-Store,5,96,1,111.21,16.87
CUST-10802,25.0,Male,Miami,43234.09,Silver,In-Store,6,47,1,12.66,79.58
CUST-10669,42.0,Female,Portland,98292.44,Silver,Mobile App,48,45,7,2736.81,316.66
CUST-10431,45.0,Female,Austin,65644.61,Gold,Online,57,6,14,2613.9,152.89
CUST-10491,31.0,Male,Houston,100495.44,Gold,Online,45,6,29,1314.91,129.07
CUST-10452,46.0,Female,Phoenix,124841.16,Silver,Mobile App,30,2,19,3316.66,154.96
CUST-10183,19.0,Male,Boston,36045.41,Platinum,In-Store,38,30,16,332.73,15.33
CUST-10959,22.0,Female,Austin,33188.39,Basic,Online,1,63,1,87.3,59.24
CUST-10628,31.0,Male,Austin,96463.08,Basic,Mobile App,22,43,5,2711.25,230.27
CUST-10690,53.0,Non-Binary,Austin,96822.74,Silver,Mobile App,25,73,10,3273.17,429.29
CUST-10788,29.0,Male,Houston,46106.72,Platinum,Mobile App,1,93,3,157.54,46.55
CUST-10361,37.0,Female,Chicago,87470.37,Basic,Online,38,12,43,5076.62,181.33
CUST-10595,59.0,Female,Boston,94715.8,Platinum,Online,31,38,4,1405.6,416.85
CUST-10850,37.0,Female,Boston,37007.89,Basic,Online,5,65,3,94.64,74.73
CUST-10981,32.0,Female,Miami,67627.46,Basic,Online,1,130,3,70.76,84.01
CUST-10194,39.0,Male,New York,37559.17,Silver,In-Store,69,30,20,236.71,28.62
CUST-10957,46.0,Female,Houston,58807.57,Platinum,Online,1,91,0,147.54,35.51
CUST-10623,59.0,Male,New York,116297.19,Basic,Online,13,44,8,2215.07,429.26
CUST-10767,33.0,Male,Seattle,33725.03,Gold,Online,1,70,3,210.5,87.51
CUST-10245,48.0,Female,Denver,30565.29,Basic,In-Store,13,14,11,319.75,36.83
CUST-10024,44.0,Male,New York,34249.19,Basic,Online,26,27,16,481.85,26.25
CUST-10785,27.0,Female,Atlanta,60533.18,Gold,In-Store,4,30,2,260.43,78.38
CUST-10750,35.0,Male,Phoenix,41780.9,Silver,In-Store,1,77,3,0.0,71.54
CUST-10892,44.0,Male,Atlanta,35522.28,Basic,Online,1,150,1,149.87,30.33
CUST-10467,61.0,Female,Portland,97339.42,Basic,Online,24,6,27,2484.5,166.63
CUST-10181,36.0,Female,New York,41779.42,Gold,In-Store,31,7,18,1103.6,32.38
CUST-10932,38.0,Female,New York,30063.92,Silver,Mobile App,6,88,1,147.56,29.6
CUST-10633,55.0,Male,New York,121177.86,Silver,Mobile App,43,92,6,1779.71,250.12
CUST-10736,37.0,Female,Portland,141716.52,Silver,Mobile App,44,58,7,3337.15,487.2
CUST-10600,67.0,Male,Phoenix,93010.73,Silver,Online,26,52,5,2268.69,422.61
CUST-10324,39.0,Male,Boston,39159.72,Silver,Online,21,20,10,663.88,11.49
CUST-10273,37.0,Female,Austin,47693.575,Basic,Online,38,40,20,299.74,17.08
CUST-10824,35.0,Female,Seattle,26180.67,Gold,Mobile App,3,38,3,21.57,77.73
CUST-10663,68.0,Male,Houston,99852.07,Gold,Online,29,60,4,1445.73,391.71
CUST-10200,50.0,Male,Seattle,52265.07,Basic,Online,25,30,21,788.48,25.37
CUST-10540,54.0,Male,Portland,72210.32,Silver,Online,69,20,8,3074.96,187.34
