CustomerID,Age,Gender,City,AnnualIncome,MembershipTier,PreferredChannel,TenureMonths,RecencyDays,Frequency,MonetaryTotal,AvgBasketValue,Segment,PC1,PC2,SegmentName
CUST-10284,35.0,Female,Portland,36611.45,Basic,In-Store,39,0,19,490.86,17.72,4,-0.06661700814302349,-1.7805239236025283,Budget Shoppers
CUST-10804,43.0,Female,Seattle,32160.3,Gold,Online,9,71,2,9.48,65.27,0,-1.8345033547111187,0.7835709231112573,New / Low-Engagement
CUST-10381,60.0,Female,Denver,109609.53,Gold,Online,61,19,25,6951.76,166.62,2,4.549431707353214,-0.05468203956114058,High-Value Loyalists
CUST-10617,80.0,Female,Houston,114809.43,Basic,In-Store,19,59,3,1784.26,482.15,1,2.1499463501547362,3.8369697485685386,Occasional Big Spenders
CUST-10805,18.0,Male,Austin,41538.42,Basic,Online,6,72,2,40.03,66.76,0,-2.457949956680522,0.5227076552347502,New / Low-Engagement
CUST-11123,18.0,Non-Binary,Seattle,32051.93,Gold,Online,13,24,14,1443.86,35.03,3,-1.2130046428083037,-1.130865385337241,Young Digital Shoppers
CUST-10407,45.0,Male,Chicago,89388.62,Platinum,Online,59,16,35,4711.06,102.42,2,3.3298538339456365,-1.3298251251473792,High-Value Loyalists
CUST-10886,37.0,Male,Denver,29231.98,Silver,Online,1,95,0,190.29,72.84,0,-2.415472887793849,1.2477077658307352,New / Low-Engagement
CUST-10994,40.0,Male,Miami,54057.81,Gold,In-Store,5,96,1,111.21,16.87,0,-2.0576393702791775,1.2800865727386121,New / Low-Engagement
CUST-10802,25.0,Male,Miami,43234.09,Silver,In-Store,6,47,1,12.66,79.58,0,-2.0479666010561157,0.36635135190297147,New / Low-Engagement
CUST-10669,42.0,Female,Portland,98292.44,Silver,Mobile App,48,45,7,2736.81,316.66,1,1.7563687482097543,1.5350575874276622,Occasional Big Spenders
CUST-10431,45.0,Female,Austin,65644.61,Gold,Online,57,6,14,2613.9,152.89,2,1.7766947364938717,-0.5570152491829595,High-Value Loyalists
